normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
工学门类、理学门类、经济学门类、法学门类、文学门类、管理学门类,岗位标签,title_or_tag,6,6,government:6,job_ebdc8cf8cc900597b69b;job_9f8a8bccc35ba9086828;job_fc030923130d7d8b007e,一级行政执法员（十三） | 一级行政执法员（十一） | 一级行政执法员（十二）,工学门类、理学门类、经济学门类、法学门类、文学门类、管理学门类 | 工学门类、理学门类、经济学门类、法学门类、文学门类、管理学门类 | 工学门类、理学门类、经济学门类、法学门类、文学门类、管理学门类
市场监管,产品运营,auto_phrase,6,6,government:6,job_9d6bae774ff422badd09;job_68bafc128ce8ecf9f4dc;job_79f8aefe6ec317775de8,市场监管岗一级主任科员及以下 | 市场监管处一级主任科员及以下 | 市场监管处一级主任科员及以下,市场监管岗一级主任科员及以下 | 市场监管处一级主任科员及以下 | 市场监管处一级主任科员及以下
广州铁路公安处基层所队民警,岗位标签,title_or_tag,6,6,government:6,job_54fe11563463c0cfc063;job_c7b0d7254e82fbca1720;job_3fba59130d251b9c6c28,广州铁路公安处基层所队民警 | 广州铁路公安处基层所队民警 | 广州铁路公安处基层所队民警,广州铁路公安处基层所队民警 | 广州铁路公安处基层所队民警 | 广州铁路公安处基层所队民警
数学类、化学类、统计学类,岗位标签,title_or_tag,6,6,government:6,job_3ce6cf44c639add6f1e3;job_a510d74603c84a92fc87;job_57c94507a1071f4382c0,一级行政执法员（一） | 一级行政执法员（二） | 一级行政执法员（三）,数学类、化学类、统计学类 | 数学类、化学类、统计学类 | 数学类、化学类、统计学类
数学类、统计学类、机械类、能源动力类,岗位标签,title_or_tag,6,6,government:6,job_5d6e9365edfb8535b911;job_89a67f0fc0b97d999a54;job_10c201f6bb197a121478,一级行政执法员（五） | 一级行政执法员（六） | 一级行政执法员（三）,数学类、统计学类、机械类、能源动力类 | 数学类、统计学类、机械类、能源动力类 | 数学类、统计学类、机械类、能源动力类
数学类、统计学类、环境科学与工程类,岗位标签,title_or_tag,6,6,government:6,job_412df5d4f3ee15b825ec;job_3cd97007f5f8cc979b62;job_51a122b90e3e96c173cc,一级行政执法员（二） | 一级行政执法员（五） | 一级行政执法员（六）,数学类、统计学类、环境科学与工程类 | 数学类、统计学类、环境科学与工程类 | 数学类、统计学类、环境科学与工程类
旅客检疫四级主办及以下,岗位标签,title_or_tag,6,6,government:6,job_a0d3353104f767b5f0cf;job_7ef6da0ff5a760ad70e5;job_b44411d3557740c7665d,旅客检疫四级主办及以下 | 旅客检疫四级主办及以下 | 旅客检疫四级主办及以下,旅客检疫四级主办及以下 | 旅客检疫四级主办及以下 | 旅客检疫四级主办及以下
本科专业为法学类（0301），或研究生专业为法学（0301）、法律（0351）,岗位标签,title_or_tag,6,6,government:6,job_f712e2bea830a8ec5802;job_a61ca3b489dbe4fb92cd;job_89862e8955211bf3e0e3,法规部门一级主任科员及以下 | 法规部门一级主任科员及以下 | 法规部门一级主任科员及以下,本科专业为法学类（0301），或研究生专业为法学（0301）、法律（0351） | 本科专业为法学类（0301），或研究生专业为法学（0301）、法律（0351） | 本科专业为法学类（0301），或研究生专业为法学（0301）、法律（0351）
本科：会计学、财务管理、审计学； 研究生：会计、审计,岗位标签,title_or_tag,6,6,government:6,job_fd091bf554e456fa1bc6;job_3bbf55f27029ebcee47c;job_9093f042a84619efb496,财务管理四级主办及以下 | 财务管理四级主办及以下 | 财务管理四级主办及以下,本科：会计学、财务管理、审计学； 研究生：会计、审计 | 本科：会计学、财务管理、审计学； 研究生：会计、审计 | 本科：会计学、财务管理、审计学； 研究生：会计、审计
本科：法学类（0301）；研究生：法学（0301）、法律（0351）,岗位标签,title_or_tag,6,6,government:6,job_e289c8a9b8b1a0e02237;job_8ace5fa6d6625937724a;job_a148e88d345eaf0000cc,法规部门一级主任科员及以下 | 法规部门一级主任科员及以下 | 综合部门一级主任科员及以下,本科：法学类（0301）；研究生：法学（0301）、法律（0351） | 本科：法学类（0301）；研究生：法学（0301）、法律（0351） | 本科：法学类（0301）；研究生：法学（0301）、法律（0351）
