month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2024-10,政府信息化建设与管理岗,信息安全,网络与安全,56,3,0.053571,142,21,0.147887,当月活跃技能,0,10,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,信息管理与信息系统,政务信息化,56,0,0.0,142,4,0.028169,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,信息系统,政务信息化,56,0,0.0,142,8,0.056338,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,大数据管理与应用,政务信息化,56,0,0.0,142,3,0.021127,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,密码技术,网络与安全,56,1,0.017857,142,4,0.028169,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,数据科学与大数据技术,数据与统计,56,4,0.071429,142,17,0.119718,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,数据管理,数据与统计,56,0,0.0,142,3,0.021127,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,数据计算及应用,数据与统计,56,0,0.0,142,2,0.014085,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,物联网工程,智能化技术,56,1,0.017857,142,7,0.049296,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,电子信息,通信与电子技术,56,46,0.821429,142,95,0.669014,稳定核心技能,1,2,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,电子信息工程,通信与电子技术,56,0,0.0,142,6,0.042254,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,统计学,数据与统计,56,0,0.0,142,5,0.035211,当月未出现,0,,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,网络工程,网络与基础设施,56,3,0.053571,142,20,0.140845,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,网络空间安全,网络与安全,56,7,0.125,142,20,0.140845,当月活跃技能,0,6,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,自动化,智能化技术,56,4,0.071429,142,14,0.098592,当月活跃技能,0,9,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,计算机科学与技术,计算机基础,56,51,0.910714,142,119,0.838028,稳定核心技能,1,1,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,软件工程,软件工程,56,15,0.267857,142,43,0.302817,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,通信工程,通信与电子技术,56,8,0.142857,142,21,0.147887,当月活跃技能,0,5,2026-08-06T03:30:35+00:00
2024-10,政府信息化建设与管理岗,遥感技术,空间信息技术,56,1,0.017857,142,1,0.007042,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,人工智能,智能化技术,73,11,0.150685,215,26,0.12093,当月活跃技能,0,5,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,信息化建设,政务信息化,73,19,0.260274,215,39,0.181395,当月活跃技能,0,3,2026-08-06T03:30:35+00:00
2025-10,政府信息化建设与管理岗,信息安全,网络与安全,73,8,0.109589,215,29,0.134884,当月活跃技能,0,8,2026-08-06T03:30:35+00:00
